Started Server , Thu Nov 30 12:30:15 CET 2023, 1
Retrieved Mail ID from file (0) , Thu Nov 30 12:30:15 CET 2023, 2
Stored Mail ID to file (0) , Thu Nov 30 12:30:32 CET 2023, 3
Stopped Server , Thu Nov 30 12:30:32 CET 2023, 4
Stored Mail ID to file (0) , Thu Nov 30 12:30:41 CET 2023, 5
