Started Server , Thu Nov 30 12:29:23 CET 2023, 1
Retrieved Mail ID from file (0) , Thu Nov 30 12:29:23 CET 2023, 2
Stored Mail ID to file (0) , Thu Nov 30 12:29:24 CET 2023, 3
Stopped Server , Thu Nov 30 12:29:24 CET 2023, 4
Stored Mail ID to file (0) , Thu Nov 30 12:29:25 CET 2023, 5
